location_id,location
1,"Branchburg, NJ"
2,"New York, NY"
3,"San Francisco, CA"
4,Remote
5,"Lanham, MD"
6,"Atlanta, GA"
7,"San Jose, CA"
8,"Bridgeton, MO"
9,"Seattle, WA"
10,"San Carlos, CA"
11,"Dallas, TX"
12,"Boston, MA"
13,"San Mateo, CA"
14,"Chicago, IL"
15,"Mountain View, CA"
16,"Lehi, UT"
17,"Newtown Square, PA"
18,"Redwood City, CA"
19,United States
20,"Memphis, TN"
21,"Las Vegas, NV"
22,"Franklin, VA"
23,"Plano, TX"
